term,fallback_term,term_type,geography,date_range,date,interest,data_status,run_id,source_term,geo_code,search_type,category,retrieval_date,is_partial
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-06-14,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-06-21,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-06-28,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-07-05,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-07-12,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-07-19,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-07-26,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-08-02,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-08-09,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-08-16,7,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,what happens when you type a url,Search term,US,2024-08-01 to 2026-08-24,2026-08-23,0,fallback_sufficient,a2f389ceaeb5,what happens when you type a url,US,Google Web Search,All categories,2026-08-24,True
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-08-22,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-08-29,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-09-05,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-09-12,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-09-19,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-09-26,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-10-03,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-10-10,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-10-17,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-10-24,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-10-31,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-11-07,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-11-14,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-11-21,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-11-28,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-12-05,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-12-12,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-12-19,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2021-12-26,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-01-02,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-01-09,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-01-16,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-01-23,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-01-30,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-02-06,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
what happens when you type a url in the browser,,Search term,US,2021-08-24 to 2026-08-24,2022-02-13,0,sufficient,8225699d39f6,what happens when you type a url in the browser,US,Google Web Search,All categories,2026-08-24,False
